Material;Usura_mat_mm;Usura_mat_g;Usura_disco_g;Durezza_Disco;CodPinza;Comprex_LP;Comprex_LR;Grindo_LP;Grindo_LR;PistoneCpx;Inerzia;Press_accost;Vmax;Rendimento;Indice_misura;Attrezzatura;Raggio_ruota;Area_pistone;CodImpianto;Raggio_medio;Disco_nuovo;Disco
9482;0.55;6.7;8;164;1;166;167;753;768;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9799;0.54;9.7;5;169;1;194;184;740;742;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
16136;0.5;8.9;5;196;1;196;194;768;743;54;65;0.5;195;1;2;0;308;22.9;2;104;0;256X22
19269;0.36;7.9;6;194;1;194;190;0;0;54;65;0.5;195;1;2;0;308;22.9;2;104;0;256X22
19269;0.58;8.8;5.4;190;1;213;195;0;0;54;72.5;0.5;190;1;1;0;308;22.9;3;117.7;0;280x22
19269;0.24;7.4;4.2;208;1;205;194;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22719;0.21;7;3;158;1;170;228;0;0;54;45;0.5;169;1;2;0;290;22.9;5;104;0;256x22
22719;0.7;7.9;4.6;226;1;165;166;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
22719;0.31;7.9;5.9;236;1;186;183;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
22719;0.33;6.9;3.9;199;1;172;183;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
26346;0.5;8.9;7.3;222;1;200;153;0;0;54;65;0.5;195;1;2;0;308;22.9;2;104;0;256X22
9630;1.12;13.3;11;175;1;200;200;779;748;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9630;0.82;9.7;9;176;1;209;207;745;750;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9631;0.65;8.3;7;173;1;189;280;717;721;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
18311;0.98;10.2;11;184;1;209;210;524;587;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20178;0.42;7.7;7.3;226;1;161;179;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
20178;0.6;7.3;8.7;163;1;213;212;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22157;0.58;7.9;7.9;220;1;208;210;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22480;0.43;9.2;7.3;202;1;144;142;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22480;0.39;8.6;7.8;223;1;137;133;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
18454;0.79;8.6;8;182;1;203;187;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
18296;0.72;10.1;10.3;218;1;174;186;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
25935;0.55;6.5;8.5;165;1;226;225;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
15759;0.64;8.1;12;168;1;216;209;791;735;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
23139;0.44;6.5;9;198;0;142;135;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23139;0.57;6.6;8.9;199;0;118;138;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
20816;0.51;8.2;1.5;205;0;183;178;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
20816;0.49;7.8;1.4;198;0;187;182;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.43;7.3;1.7;247;0;167;166;0;0;54;51;0.5;195;1;2;0;290;22.9;11;104;1;256x22
21004;0.47;7.3;1.2;243;0;168;189;0;0;54;51;0.5;195;1;2;0;290;22.9;11;104;1;256x22
21004;0.76;7.1;1.4;242;0;180;180;0;0;54;51;0.5;195;1;2;0;290;22.9;11;104;1;256x22
21004;0.51;8;1.5;249;3;168;158;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.46;8;1.8;255;3;181;173;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.44;7.6;1.7;257;3;162;167;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.46;8.3;3.1;226;0;185;174;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.49;8.2;1.5;247;3;155;150;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.45;7.9;0.4;217;0;141;145;0;0;54;51;0.5;195;1;2;0;290;22.9;11;104;1;256x22
21004;0.49;8.1;1.9;217;0;157;152;0;0;54;51;0.5;195;1;2;0;290;22.9;11;104;1;256x22
21004;0.49;8.4;1.8;242;3;143;171;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.5;8.6;1.6;236;3;150;160;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.57;8.8;1.5;237;3;160;150;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
21004;0.78;9.5;5.5;216;0;170;173;0;0;54;65;0.5;195;1;2;0;308;22.9;13;104;0;256x22
21004;0.48;6.9;1.7;181;0;170;172;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.42;7.7;2.1;208;0;182;178;0;0;54;65;0.5;195;1;2;0;308;22.9;13;104;0;256x22
21004;0.55;9;2.9;194;0;162;159;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.67;9;3.2;205;0;176;178;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.66;8.1;2.9;205;0;205;204;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.52;8.8;3;188;0;37;36;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.52;7.9;3.5;187;0;170;171;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.55;9.2;2.9;186;0;160;160;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.49;8.8;2.7;213;0;128;130;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.59;8.8;3.6;208;0;131;139;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.41;6.8;2.7;222;1;215;231;0;0;54;45;0.5;169;1;2;0;290;22.9;5;104;0;256x22
21004;0.56;9.1;4.8;204;0;206;205;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.67;10.2;3.8;218;0;180;169;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
21004;0.54;8.2;2.9;199;1;185;174;0;0;54;72.5;0.5;190;1;1;0;308;22.9;3;117.7;0;280x22
22830;0.5;7;2.3;212;0;211;203;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23105;0.62;10.5;7.8;205;0;200;170;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23602;0.51;8.8;4.1;208;0;147;139;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23892;0.7;9.5;4.5;229;0;220;219;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24042;0.53;8.5;3.5;205;0;194;195;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24043;0.57;8.8;3.9;205;0;174;174;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24044;0.42;7.6;2.9;193;0;183;173;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24388;1.83;22.3;4.2;183;0;176;187;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24582;0.55;8.1;3;193;0;178;170;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24583;0.78;8.1;3.1;154;0;365;385;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
24584;0.55;7.5;2.7;196;0;192;213;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
27078;1.07;13.9;2.3;245;3;146;136;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
27080;0.76;10.1;1.1;262;3;137;137;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
27080;1.05;14.3;0.9;251;3;161;155;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
28472;0.77;13.7;1.1;255;4;172;163;0;0;57;72.5;0.5;192;1;2;0;308;25.52;12;113;0;276x24
24281;0.38;6.8;2.3;181;0;199;190;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
25492;0.5;7.4;2.6;189;0;164;172;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
25492;0.56;7.8;3.3;191;0;184;185;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
25646;0.61;7.9;3.9;201;0;186;197;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
25646;0.56;7.5;2.5;187;0;193;196;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
18458;0.51;7.3;7;169;1;182;176;744;614;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17230;0.44;6.5;8;188;1;193;197;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
24728;1.09;9.4;12.3;190;4;167;168;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
25124;1.36;11.6;8.1;172;1;170;168;0;0;54;65;0.5;169;1;2;0;290;22.9;14;104;0;256x22
25634;0.61;7.3;8.2;207;4;191;196;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
25755;0.91;11.1;5.8;219;1;194;185;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
25755;0.65;7.2;6.1;204;4;210;212;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
25755;0.61;7.3;7.1;228;4;187;180;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26056;0.77;9.4;4.1;239;4;161;173;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26145;0.62;8;4.7;216;4;169;163;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26374;0.83;10.9;5.5;222;4;182;188;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26541;0.7;8.6;4.3;221;4;197;188;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26541;0.75;9.4;3.7;232;4;198;197;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26848;0.98;11.8;4.3;258;4;173;182;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26862;0.87;10.8;3.3;230;4;180;183;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26889;0.79;9.3;3.7;225;4;191;191;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26952;0.81;10.8;5.4;232;4;175;181;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26953;0.76;10.5;4;230;4;172;173;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
26954;0.85;10.4;4.9;240;4;178;181;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
27227;0.77;10.4;5.9;195;4;229;236;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
10439;0.69;8.1;8;185;1;153;158;805;796;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11558;0.55;9.8;11;200;1;148;145;747;759;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11558;0.57;10;11;183;1;173;176;745;739;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12248;0.65;8.6;6;192;1;178;187;820;823;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12249;0.59;7.7;5;174;1;212;216;837;833;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12250;0.58;7.1;4;174;1;211;213;826;861;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12093;0.75;14.1;11;177;1;108;125;566;567;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
13491;0.42;7.8;9;184;1;167;159;646;641;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
16821;0.55;7.4;10;171;1;161;167;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
16042;0.52;8.9;5;187;1;146;147;657;625;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
10892;1.53;16.8;6;197;1;301;295;855;851;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
18060;0.65;7.6;8.6;209;0;209;200;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23636;0.9;10;10.3;273;1;213;210;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22426;1.75;17.1;16.6;197;1;191;193;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
16635;0.44;8;7;181;1;225;223;585;590;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
12258;1.64;24.5;49;186;1;94;94;517;521;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12366;1.75;24.2;55;190;1;73;72;527;527;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
15946;0.74;10.7;6;171;1;197;204;619;611;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
15947;0.82;11.2;4;181;1;207;211;630;629;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
9387;2.01;25.7;5;184;1;231;229;755;761;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
10952;5.04;60.4;5;200;1;162;150;689;688;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
8951;1.07;15.2;8;165;1;182;182;810;813;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9024;0.62;7.5;6;235;1;125;136;727;731;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9024;0.58;7.8;6;237;1;137;102;701;674;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9544;0.58;8.2;6;184;1;196;189;731;748;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9544;0.77;9.1;10;175;1;119;118;725;726;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9544;0.74;9.1;7;179;1;194;195;812;806;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9566;0.79;13.8;12;275;1;145;137;725;704;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
10289;0.61;9.2;8;180;1;186;195;792;795;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
16630;0.61;10.6;15;271;1;195;198;760;785;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
10082;1.19;15.2;12;210;1;187;189;798;806;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
10169;0.87;9.6;10;196;1;213;213;847;832;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
10376;0.64;9;8;189;1;162;157;789;821;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
8997;1.01;13.3;1;177;1;181;203;738;729;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
10450;1.69;20;1;169;1;161;165;734;741;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
11196;1.09;14.2;11;173;1;167;173;810;803;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
10386;0.92;13;4;227;1;224;225;756;735;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11108;1.14;14.9;5;218;1;195;197;677;679;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9337;0.69;10.3;9;180;1;195;198;782;783;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9337;0.64;9.3;7;194;1;203;198;751;750;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9337;0.64;8.8;7;192;1;190;179;744;736;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9385;1.1;14;11;170;1;172;195;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9385;0.64;8.1;9;184;1;203;174;745;761;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9386;1.11;14.4;14;199;1;206;198;785;785;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9386;1.1;13.5;14;190;1;206;199;774;771;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9564;0.9;12.7;13;192;1;144;147;729;735;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9565;0.67;9.2;11;189;1;145;144;724;720;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9627;0.62;8.5;10;200;1;179;179;728;735;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9627;0.7;9.6;7;183;1;196;186;737;737;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9628;0.99;13.5;10;185;1;175;173;705;745;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9422;1.18;15.3;16;200;1;197;193;760;775;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
9422;1.79;23.3;16;169;1;209;199;742;732;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9491;2.02;26.7;15;193;1;198;194;795;785;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9588;2.23;28.6;17;180;1;174;170;769;766;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9592;1.69;21.2;16;188;1;194;196;798;796;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9593;1.11;14;15;195;1;183;187;787;798;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9540;0.98;12.2;13;199;1;184;184;768;754;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9541;0.71;9.9;12;171;1;176;173;750;750;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
9541;0.61;9.2;10;229;1;177;173;730;722;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
10842;1.07;13.1;7;173;1;243;238;795;785;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
13490;0.64;12.3;11;157;1;109;115;604;603;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
11982;1.11;20.2;6;179;1;114;110;476;401;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11982;1.13;20.3;6;174;1;100;110;574;603;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11982;1.14;20.3;9;184;1;104;106;583;583;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
11982;1;18.9;5;174;1;115;115;506;445;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12390;1.36;22.6;6;182;1;152;149;622;664;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12405;2.55;39.3;10;186;1;145;146;625;635;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
12240;1.4;18.3;9;181;1;143;145;693;687;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
17674;1.33;13.7;13;170;1;175;172;617;592;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17833;1.13;12.2;14;168;1;167;173;594;632;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17834;1.13;11.9;11;173;1;165;165;617;573;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17835;1.36;13.7;14;193;1;160;151;612;605;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17882;1.24;11;10;182;1;224;225;622;630;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17937;1.11;12;11;171;1;180;165;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17938;1.16;12.5;12;157;1;217;216;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20179;0.51;8.2;7.6;183;0;151;142;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
20179;0.6;8.3;8;191;0;168;181;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
26413;0.63;7.4;9.8;186;1;221;209;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
26153;1.16;8.7;12.9;230;1;212;207;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
16976;2.51;20.3;32;168;1;282;261;701;708;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
17330;0.61;7.6;8;170;1;207;204;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
18009;0.56;6.9;6;179;1;194;191;676;718;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
18009;0.51;6.6;6.2;190;4;177;179;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
18009;0.55;6.9;5.6;212;4;180;177;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
24143;0.82;8.6;4.6;182;1;161;159;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
24144;1.23;11.7;2.9;188;1;165;161;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20344;0.55;7.4;6.7;202;1;143;145;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
20730;0.69;10.4;15.3;168;1;164;161;0;0;54;72.5;0.5;190;1;1;0;308;22.9;3;117.7;0;280x22
20898;0.65;9;12.7;175;1;179;181;0;0;54;72.5;0.5;190;1;1;0;308;22.9;3;117.7;0;280x22
20939;0.48;6.9;8.4;188;1;184;183;0;0;54;72.5;0.5;190;1;1;0;308;22.9;3;117.7;0;280x22
22277;1.17;8.7;6.2;198;1;154;148;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22367;0.9;10.3;6.2;184;1;146;145;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22367;1.28;11.8;7.2;181;1;147;142;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22448;1.19;10.2;9.4;198;1;141;143;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22490;3.12;38.8;194.7;176;1;194;188;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22490;1.37;11.6;7.8;209;1;151;144;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
22490;0.8;10.1;6.3;178;1;158;149;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
16633;0.63;10.3;11;169;1;178;174;683;655;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
16634;0.69;10.6;11;180;1;179;170;647;620;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
15382;0.65;9.7;8;179;1;149;150;642;638;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
15895;1.49;13.8;12;157;1;161;189;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
27215;0.66;7.4;8.5;209;4;202;NULL;0;0;54;65;0.5;185;1;2;0;308;22.9;10;104;0;256x22
15951;0.54;10.8;6;168;1;138;141;622;633;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20333;0.88;7.3;7.2;205;1;195;209;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20333;0.8;7.6;8.3;203;1;184;190;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20333;0.81;7.8;9.1;196;1;182;191;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
20333;0.75;7.6;7.7;202;1;182;191;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
21298;0.73;6.6;8;171;1;233;233;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
21298;0.83;7.6;8.8;166;1;218;218;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
21298;0.76;7.2;9;176;1;229;230;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
21298;0.77;7.5;8.5;170;1;215;217;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
15565;0.49;6.4;7;174;1;125;121;648;651;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
15942;0.56;7;7;170;1;191;185;672;674;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
11021;0.8;10.7;8;174;1;175;172;827;828;54;72.5;0.5;190;1;2;0;308;22.9;0;117.7;0;280x22
20279;0.91;12.9;5.3;199;1;302;313;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
20279;0.86;11.8;4;177;1;309;300;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
26461;0.31;6;3.4;159;1;170;172;0;0;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
24855;0.89;8.4;11.7;204;1;210;200;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
21340;0.49;8.5;1.6;216;0;142;151;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
27635;0.82;11.3;0.5;263;3;181;179;0;0;54;65;0.5;190;1;2;0;308;22.9;9;117.7;0;280x22
18537;0.44;6;9;191;1;156;153;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
18537;0.47;6.3;9;176;1;157;160;635;639;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
24547;1.03;8.9;9.6;189;1;189;191;0;0;54;65;0.5;185;1;2;0;308;22.9;6;104;0;256x22
26988;0.8;9.8;4.9;237;1;181;183;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
27538;0.84;9.1;12.2;233;1;140;142;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
27539;0.97;10.8;16.9;227;1;133;128;0;0;54;65;0.5;195;1;2;0;308;22.9;7;118;0;280x22
13883;0.52;9.6;10;203;1;165;174;598;593;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
22305;1.02;11.5;11.9;204;1;215;216;0;0;54;65;0.5;185;1;2;0;308;22.9;4;104;0;256x22
15761;0.59;8.3;10;177;1;183;178;623;622;54;65;0.5;195;1;2;0;308;22.9;1;118;0;280X22
23358;0.87;10.3;11.4;204;0;101;101;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23358;0.85;10.3;10;163;0;155;157;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23358;0.87;10.1;11;194;0;138;137;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23358;0.86;10.6;12;214;0;137;135;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
23358;0.82;10.6;11.9;212;0;86;85;0;0;54;65;0.5;195;1;2;0;308;22.9;8;104;0;256x22
27674;0.94;13.4;5.7;246;4;152;143;0;0;57;72.5;0.5;192;1;2;0;308;25.52;12;113;0;276x24
